d,p,M,local_rank_count,shared_bound,naive_augmented_count,measurements_saved,full_rank_fraction,median_sigma_min,median_cloud_margin,p10_cloud_margin,p90_cloud_margin
1,1,2,2,4,5,1,1.0000000000,0.2794478338,0.0237269730,0.0010770900,0.0760496931
1,1,3,2,4,5,1,1.0000000000,0.6344331102,0.0424980970,0.0106394303,0.0813180413
1,1,4,2,4,5,1,1.0000000000,0.8256917107,0.0472595306,0.0128463208,0.0807371408
1,1,5,2,4,5,1,1.0000000000,1.0438678841,0.0546247947,0.0204684443,0.0776042224
2,1,3,3,6,7,1,1.0000000000,0.0317548988,0.0022217877,0.0002036458,0.0069144157
2,1,4,3,6,7,1,1.0000000000,0.0650864385,0.0036677994,0.0009066363,0.0092450335
2,1,5,3,6,7,1,1.0000000000,0.1114111896,0.0064018509,0.0020909310,0.0105361694
2,1,6,3,6,7,1,1.0000000000,0.1481657938,0.0068282387,0.0028317195,0.0106916613
2,1,7,3,6,7,1,1.0000000000,0.1735335505,0.0073562015,0.0034264575,0.0107622069
2,2,4,4,7,9,2,1.0000000000,0.0086110499,0.0005430173,0.0000281706,0.0021105793
2,2,5,4,7,9,2,1.0000000000,0.0260106445,0.0013167832,0.0001837273,0.0031136099
2,2,6,4,7,9,2,1.0000000000,0.0330757439,0.0015293620,0.0003880312,0.0037270618
2,2,7,4,7,9,2,1.0000000000,0.0424816763,0.0018394871,0.0005710146,0.0037655649
2,2,8,4,7,9,2,1.0000000000,0.0583432826,0.0023720929,0.0007707314,0.0039744374
2,2,9,4,7,9,2,1.0000000000,0.0685877323,0.0027115945,0.0012007251,0.0041753650
3,2,5,5,9,11,2,1.0000000000,0.0007408392,0.0002874744,0.0000385698,0.0010062486
3,2,6,5,9,11,2,1.0000000000,0.0022406772,0.0005856305,0.0000933530,0.0015465302
3,2,7,5,9,11,2,1.0000000000,0.0055505797,0.0007839876,0.0001676740,0.0020350762
3,2,8,5,9,11,2,1.0000000000,0.0057784730,0.0009069367,0.0002101232,0.0020237076
3,2,9,5,9,11,2,1.0000000000,0.0095075452,0.0012196439,0.0003932732,0.0021475601
3,2,10,5,9,11,2,1.0000000000,0.0113390019,0.0011630045,0.0003866213,0.0022211234
3,2,11,5,9,11,2,1.0000000000,0.0133136717,0.0013054850,0.0005376644,0.0023391653
