d,p,block,seed,median_margin_shared,median_margin_naive,ratio_shared_to_naive
1,1,0,20260912,0.0446981045,0.0514653408,0.8685088608
1,1,1,20360912,0.0434002814,0.0495284524,0.8762696859
1,1,2,20460912,0.0447624193,0.0503630416,0.8887949950
1,1,3,20560912,0.0489005380,0.0525801656,0.9300187154
1,1,4,20660912,0.0505527927,0.0530316526,0.9532569749
1,1,5,20760912,0.0456873573,0.0498883787,0.9157915824
1,1,6,20860912,0.0449479173,0.0515143582,0.8725318309
1,1,7,20960912,0.0487117085,0.0442986713,1.0996200802
1,1,8,21060912,0.0449209629,0.0484347600,0.9274529876
1,1,9,21160912,0.0452433785,0.0520355602,0.8694703854
2,1,0,20260912,0.0069435283,0.0076170135,0.9115814656
2,1,1,20360912,0.0069804708,0.0073290468,0.9524391059
2,1,2,20460912,0.0066351971,0.0068000256,0.9757606127
2,1,3,20560912,0.0068341407,0.0080553263,0.8484002303
2,1,4,20660912,0.0075886288,0.0072392395,1.0482632692
2,1,5,20760912,0.0068296137,0.0077320133,0.8832904671
2,1,6,20860912,0.0061348316,0.0069406889,0.8838937579
2,1,7,20960912,0.0063376222,0.0072387922,0.8755082413
2,1,8,21060912,0.0063507247,0.0067110744,0.9463052171
2,1,9,21160912,0.0068285432,0.0075510580,0.9043160803
2,2,0,20260912,0.0019462704,0.0024768808,0.7857747313
2,2,1,20360912,0.0017710935,0.0027008389,0.6557568024
2,2,2,20460912,0.0020858533,0.0024558280,0.8493482774
2,2,3,20560912,0.0020525246,0.0026381652,0.7780121549
2,2,4,20660912,0.0018915079,0.0024610413,0.7685803084
2,2,5,20760912,0.0021758324,0.0025228127,0.8624629240
2,2,6,20860912,0.0018546935,0.0026059898,0.7117040625
2,2,7,20960912,0.0021090375,0.0027804169,0.7585328207
2,2,8,21060912,0.0021129297,0.0027063904,0.7807187533
2,2,9,21160912,0.0018131698,0.0025023363,0.7245907713
3,2,0,20260912,0.0010456318,0.0014786605,0.7071479662
3,2,1,20360912,0.0007902189,0.0008635853,0.9150444099
3,2,2,20460912,0.0011625943,0.0011841254,0.9818168382
3,2,3,20560912,0.0007531747,0.0009699593,0.7765013485
3,2,4,20660912,0.0009962747,0.0012365535,0.8056867313
3,2,5,20760912,0.0010590308,0.0012571020,0.8424381985
3,2,6,20860912,0.0012553264,0.0015855463,0.7917311429
3,2,7,20960912,0.0008691943,0.0010751459,0.8084431048
3,2,8,21060912,0.0006954126,0.0007388507,0.9412085582
3,2,9,21160912,0.0010537566,0.0012934563,0.8146827817
